location,Excel,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319,51.33319
lon,-110.62500,-110.62500,-110.62500,-110.62500
asl,763.029,763.029,763.029,763.029
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Relative Humidity [2 m],Excel Wind Speed [10 m],Excel Wind Direction [10 m]
20210408T1500,5.648188,52.0,31.956972,345.6507
20210408T1600,6.068188,47.0,31.63087,348.17853
20210408T1700,6.018188,44.0,29.888672,350.99152
20210408T1800,6.1381884,42.0,27.288855,351.65613
20210408T1900,5.0781884,40.0,24.590923,342.09555
20210408T2000,2.868188,43.0,17.22742,333.9704
20210408T2100,0.37818804,49.0,10.799999,323.13013
20210408T2200,-0.54181194,50.0,9.085988,303.69006
20210408T2300,-0.9518119,51.0,8.825508,281.7683
20210409T0000,-1.271812,52.0,8.647496,267.61407
20210409T0100,-1.2218119,50.0,7.754637,248.1986
20210409T0200,-1.411812,51.0,7.42159,230.90614
20210409T0300,-1.8518119,52.0,7.9932966,215.83765
20210409T0400,-2.611812,56.0,8.311245,197.65013
20210409T0500,-3.541812,62.0,9.007196,182.2906
20210409T0600,-3.981812,66.0,9.746631,175.76361
20210409T0700,-3.191812,65.0,11.440978,167.27565
20210409T0800,-0.051811963,56.0,15.111424,167.61925
20210409T0900,2.858188,47.0,20.870687,165.00491
20210409T1000,4.7381883,43.0,25.071096,164.16762
20210409T1100,6.478188,40.0,28.137632,163.65182
20210409T1200,8.028188,37.0,29.775719,165.2917
20210409T1300,9.428187,32.0,30.009838,169.63368
20210409T1400,10.5581875,27.0,29.574827,176.51068
20210409T1500,11.5181875,24.0,27.834309,185.19443
20210409T1600,12.228188,23.0,26.758923,197.21608
20210409T1700,12.838188,22.0,25.140787,209.1343
20210409T1800,12.978188,22.0,23.507751,220.03026
20210409T1900,11.788188,29.0,15.175612,202.30621
20210409T2000,8.548187,41.0,11.384199,198.43495
20210409T2100,5.668188,54.0,11.792404,192.33908
20210409T2200,3.238188,67.0,12.904882,202.98872
20210409T2300,1.4381881,73.0,15.137133,205.34618
20210410T0000,0.6781881,74.0,19.134262,221.18593
20210410T0100,0.16818804,73.0,23.090569,239.03625
20210410T0200,-0.21181196,72.0,24.144167,249.94391
20210410T0300,-0.49181196,72.0,24.72495,253.94002
20210410T0400,-1.651812,80.0,21.794127,247.67136
20210410T0500,-2.371812,87.0,19.770523,236.88866
20210410T0600,-2.621812,91.0,19.174856,230.33215
20210410T0700,-1.8318119,84.0,14.654254,242.1759
20210410T0800,1.618188,66.0,13.70839,240.0685
20210410T0900,4.9881883,51.0,18.792551,253.30075
20210410T1000,6.938188,41.0,20.5484,266.9872
20210410T1100,8.598187,33.0,19.602652,277.38605
20210410T1200,9.628188,27.0,18.919704,291.19406
20210410T1300,10.388187,23.0,18.440998,308.65982
20210410T1400,10.778188,22.0,19.586119,323.97263
20210410T1500,10.378188,23.0,22.461807,338.3691
20210410T1600,9.698188,26.0,26.554728,344.268
20210410T1700,8.998188,29.0,30.926489,347.90524
20210410T1800,8.128188,33.0,33.74796,348.9298
20210410T1900,6.7581882,45.0,24.023088,340.7505
20210410T2000,5.838188,53.0,23.667091,333.8247
20210410T2100,4.7381883,59.0,22.065973,331.76257
20210410T2200,4.338188,63.0,24.162947,335.34412
20210410T2300,3.068188,72.0,23.806318,339.6468
20210411T0000,1.2881881,85.0,22.206486,340.09625
20210411T0100,-0.10181196,92.0,20.724247,342.8241
20210411T0200,-1.4618119,99.0,19.652176,351.57306
20210411T0300,-1.771812,96.0,20.883104,359.01227
20210411T0400,-2.431812,96.0,23.411074,1.7623901
20210411T0500,-2.511812,90.0,27.74103,2.2311707
20210411T0600,-2.261812,84.0,32.407997,358.727
20210411T0700,-1.8118119,85.0,34.292713,355.78583
20210411T0800,-1.5618119,90.0,35.68542,357.10876
20210411T0900,-1.411812,89.0,35.64182,359.42126
20210411T1000,-0.611812,78.0,35.28,360.0
20210411T1100,-0.031811953,71.0,35.28,360.0
20210411T1200,0.5481881,66.0,35.28,360.0
20210411T1300,0.9381881,63.0,34.201893,0.6030731
20210411T1400,1.5581881,59.0,32.402,0.6365814
20210411T1500,2.108188,56.0,30.96837,1.3322144
20210411T1600,2.848188,53.0,29.986076,4.820755
20210411T1700,3.718188,48.0,28.766228,8.637131
20210411T1800,3.838188,47.0,27.852928,14.215851
20210411T1900,3.3981879,49.0,25.620771,17.161926
20210411T2000,1.208188,63.0,18.455048,20.55603
20210411T2100,-0.5618119,69.0,13.779114,19.85521
20210411T2200,-1.1818119,73.0,11.090103,13.134018
20210411T2300,-1.621812,76.0,10.495713,5.906128
